Timestamp,Addr(h),WrLen,RdLen,Command(h),Write Data(h),FCS(Wr)(h),Read Data(h),FCS(Rd)(h),Information
="14:17:06.834.127.035",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="DB",="40 1E 77 77 E4",="61",=" ",
="14:17:06.834.414.485",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="66",="40 00 AF FE FF",="F6",=" ",
="14:17:06.834.692.220",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="0A",="40 14 20 00 40",="73",=" ",
="14:17:06.834.993.175",="30",="19",="1",="WrEndPointConfig(C5)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00 1E 00 00 00 EA",="89",="90",="F9",=" ",
="14:17:06.835.313.215",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:06.845.642.945",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:06.856.001.095",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:06.866.331.610",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:06.876.667.405",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:06.886.997.995",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:06.897.305.480",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:06.907.620.860",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:06.917.927.050",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:06.928.248.930",="30",="14",="5",="RdEndPointConfig(C1)",="12 05 00 00 00 05 FF F6 FE 10 00 00 00",="17",="90 00 00 00 00",="A5",=" ",
="14:17:06.939.116.165",="30",="17",="1",="WrEndPointConfig(C5)",="00 03 00 00 00 04 00 C8 21 E0 01 14 20 00 00 F7",="89",="40",="C7",=" ",
="14:17:06.975.171.670",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 A0 81 81 00",="DB",="40 1E 77 77 E4",="61",=" ",
="14:17:06.975.486.235",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 CC 81 81 00",="66",="40 00 AF FE FF",="F6",=" ",
="14:17:06.975.782.935",="30",="12",="5",="RdEndPointConfig(C1)",="00 03 00 00 00 04 00 88 21 E0 01",="0A",="40 15 20 00 40",="65",=" ",
